income,credit_score,house_size,location,property_type,listing_date,realtor_rating,flood_risk,crime_rate,purchase_decision
79934.28306022465,426.0,2148,suburb,Multi-Family,18.4.2023,2.6744290996733198,Low,36.50423788448468,not buy
67234.71397657631,313.0,2144,suburb,Townhouse,2019-03-14,2.833725696525752,High,45.847862320947286,buy
82953.77076201385,311.0,1845,downtown,Townhouse,7/26/2019,3.900024305196475,High,50.34027411072232,not buy
100460.5971281605,386.0,1102,rural,Multi-Family,12/28/2020,3.297150300360844,Medium,51.11372601840053,buy
65316.93250553328,823.0,1274,rural,Multi-Family,10.1.2019,3.668849348776724,High,48.20906714983844,buy
65317.26086101639,836.0,1841,rural,Townhouse,2/11/2023,4.1081971426070245,Low,53.958197810959234,buy
101584.25631014783,600.0,1745,suburb,Condo,18.11.2022,4.448811894632755,High,56.92855755817811,not buy
85348.69458305818,542.0,1942,industrial_area,Condo,28.3.2022,2.255501986889882,Medium,57.3463754545933,buy
60610.51228130096,421.0,2414,suburb,Multi-Family,2022-05-07,3.152090821455612,Medium,40.14196191332174,not buy
80851.2008717193,446.0,1709,industrial_area,Condo,3/24/2021,4.3604323137567995,Medium,47.15844902071203,buy
60731.64614375075,655.0,2424,uptown,Multi-Family,2021-12-06,4.957804523860226,High,61.94762861876938,buy
60685.404928594864,608.0,1712,suburb,Single Family,19.5.2021,4.5580772441750526,Medium,58.94647187573872,buy
74839.24543132068,587.0,-5,suburb,Townhouse,20.3.2020,2.485869050497507,Low,36.27140548518936,buy
31734.395106844044,606.0,2043,suburb,Multi-Family,7/17/2022,1.7806660688746017,Low,53.514799003522015,not buy
35501.643349739345,848.0,1782,rural,Multi-Family,2019-07-22,2.957570149626355,High,30.217747506251897,not buy
58754.249415180544,651.0,2034,rural,Multi-Family,3/16/2020,3.966565807344169,High,50.469349020603694,buy
49743.377593311525,611.0,1853,industrial_area,Condo,1/9/2020,2.9702762830131904,Low,68.97767016745976,buy
76284.94665190548,358.0,2056,industrial_area,Multi-Family,8/25/2020,2.932723453254674,Low,40.521072827310135,buy
51839.518489575785,334.0,2379,suburb,Single Family,19.5.2021,4.352921684327202,Low,41.65676954508418,buy
41753.92597329417,744.0,1956,industrial_area,Condo,9.1.2023,2.4456151162687454,Low,57.640297815728594,buy
99312.97537843109,392.0,1815,rural,Townhouse,2021-12-08,4.4391786992465825,Low,34.571984847903536,buy
,506.0,1438,industrial_area,Single Family,2019-08-10,2.627219203806894,Low,43.67244970114961,buy
71350.56409375848,652.0,2289,uptown,Multi-Family,17.11.2022,2.3129324227133576,Low,55.96441137581753,buy
41505.03627573086,631.0,2174,rural,Single Family,4.12.2021,2.815959644798796,Medium,43.65714152310597,buy
59112.34550949634,458.0,1409,uptown,Multi-Family,2021-06-20,4.049787834699474,Low,47.640300127890285,buy
72218.45179419732,323.0,2417,industrial_area,Single Family,2020-03-16,1.5040081114559771,Low,57.44185710315035,buy
46980.128451553945,703.0,1400,downtown,Condo,12/20/2022,1.7856768634880695,Low,218.3092357871911,not buy
77513.96036691344,815.0,2514,suburb,Multi-Family,12/18/2022,4.805779302652368,High,52.66818396295402,buy
57987.2262016239,663.0,2343,rural,Condo,2023-11-27,1.7019665095254295,High,46.60877720729961,buy
64166.12500413446,681.0,2209,uptown,Single Family,25.11.2020,3.2709092717242183,Medium,53.700611152689554,buy
57965.867755412066,831.0,1811,downtown,Multi-Family,15.9.2019,3.3172578666477515,High,48.762673199002435,buy
107045.56369017877,451.0,2287,downtown,Townhouse,2021-02-19,2.958497848200979,Medium,54.57805609925785,buy
69730.05550524133,719.0,2538,rural,Townhouse,2019-09-17,3.5789809943072743,High,45.03067974882022,buy
48845.78142088199,549.0,2296,rural,Multi-Family,2023-09-05,1.9193069031904737,High,48.17431025620459,not buy
86450.89824206378,416.0,1664,downtown,Single Family,2021-09-15,3.210649071106993,High,40.10042207447986,buy
45583.12700057955,811.0,-75,suburb,Townhouse,12/19/2020,2.4886930209875886,High,49.64992389993764,not buy
74177.2719000951,634.0,2566,suburb,Multi-Family,2019-09-15,3.646669038516756,Medium,41.88999136371155,buy
30806.59752240449,717.0,3099,uptown,Townhouse,3/17/2022,1.5648941734925979,Low,38.85953549838007,buy
43436.27902203139,594.0,1897,suburb,Multi-Family,2.10.2022,3.283509667357905,Medium,52.586611478553884,not buy
73937.22471738247,670.0,2428,downtown,Single Family,11/26/2022,1.7410814215332948,Low,52.127397758576606,buy
84769.33159990821,485.0,2567,downtown,Single Family,2019-07-09,2.1145722524601456,High,57.82873734948573,not buy
73427.36562379941,545.0,1593,industrial_area,Condo,2020-10-03,1.874839201294333,High,45.68874430424901,not buy
67687.03435223519,567.0,2891,downtown,Townhouse,2022-06-23,1.7313511194752684,Low,54.08052846836756,not buy
63977.926088214226,536.0,1467,suburb,Condo,1/3/2023,4.302843806242668,Low,55.50797572273663,not buy
40429.56019265145,829.0,2404,uptown,Single Family,2019-05-14,2.1428302706435614,Low,54.44773807831595,buy
55603.115832105825,320.0,2152,industrial_area,Multi-Family,24.11.2020,4.708495127457797,High,41.743463171978576,not buy
60787.22458080425,819.0,2027,suburb,Single Family,6/13/2022,4.879706101380764,Medium,51.49363482271189,buy
91142.44452437831,399.0,3273,uptown,Single Family,3.7.2022,3.2850418797483893,Low,53.641402960546614,buy
76872.36579136923,,1849,suburb,Multi-Family,3/21/2023,1.5720044906629056,Medium,50.07178466907942,buy
34739.19689274532,597.0,1841,industrial_area,Condo,3/18/2019,2.498192973518325,High,29.135223416289154,buy
76481.6793878959,825.0,2665,downtown,Townhouse,2023-03-24,4.190929053392856,Low,51.6048962397348,buy
62298.35439167367,633.0,2380,industrial_area,Single Family,1/10/2019,2.469562914788282,Medium,72.12531039397243,not buy
56461.55999388083,301.0,2641,downtown,Single Family,7/18/2023,1.348068873211155,High,46.39960731243017,not buy
82233.52577681736,674.0,2058,industrial_area,Townhouse,4/15/2020,3.2271396437127517,High,42.719229021446786,buy
90619.99044991902,592.0,2158,rural,Single Family,7.5.2020,4.380483405984139,Medium,53.73348559711398,not buy
88625.60238232397,617.0,2950,suburb,Townhouse,26.1.2019,4.183705548574009,Medium,53.123782104665715,buy
53215.64953554723,801.0,1582,suburb,Townhouse,2022-10-25,1.700492560521413,High,61.92735165416414,not buy
63815.75248297571,680.0,1948,rural,Townhouse,2020-04-03,3.691058457649867,Low,37.42131844091112,buy
76625.26862807128,313.0,2399,downtown,Multi-Family,15.1.2023,1.8820170537425884,High,57.31380252574992,buy
89510.90254244718,803.0,1902,suburb,Condo,2019-04-24,1.872830138208689,Medium,55.904220612514635,buy
60416.5152430942,530.0,1714,rural,Condo,8.8.2022,4.49628709322074,High,48.57853463059454,buy
66286.82046672366,383.0,2309,suburb,Multi-Family,5.1.2020,1.9986758109609206,Low,53.3868731792169,not buy
47873.300519879434,429.0,2667,uptown,Condo,27.4.2021,2.0529893860720447,High,60.29457481598357,not buy
46075.867518386585,444.0,1929,downtown,Condo,19.6.2023,1.0026135630451982,Low,58.72315380028451,not buy
86250.51644788396,327.0,1915,uptown,Boat House,2021-04-10,4.482676136502071,Medium,38.569806879262714,buy
97124.80057141646,365.0,1676,downtown,Single Family,4/14/2023,4.170379252836539,Low,58.20158186755484,buy
68559.79756839332,462.0,1852,rural,Multi-Family,18.1.2021,3.509315740362712,Low,49.353113949674814,buy
90070.65795784048,528.0,2541,downtown,Condo,11/22/2020,4.001063055755369,High,50.72874098015515,buy
77232.72050095268,560.0,2040,downtown,Multi-Family,8/2/2023,1.6081942696979672,Low,50.73196991001694,buy
57097.60490789751,748.0,1597,rural,Condo,11.9.2022,2.8332943783503017,Low,48.4975701120174,buy
77227.91211016828,723.0,2131,downtown,Condo,7/5/2022,2.4048775493951235,High,61.91707497107065,not buy
100760.73132931939,759.0,2525,suburb,Multi-Family,25.3.2022,1.375106105028066,Low,49.16282040150788,buy
69283.47921780097,600.0,1719,industrial_area,Townhouse,2022-04-28,2.9445219408596963,???,38.80453871616831,not buy
101292.87311628013,602.0,1335,rural,Multi-Family,12/5/2021,4.682958601370542,Medium,46.06470144030271,buy
17605.097918205116,586.0,3095,industrial_area,Townhouse,9/14/2019,1.160236476202778,Low,51.78694716810475,not buy
86438.05008750448,694.0,1310,rural,Single Family,9/5/2023,2.1658436539751755,Low,62.29214784297051,not buy
71740.94136476342,309.0,1820,rural,Multi-Family,5/7/2020,1.8301637448228139,High,56.03094684948834,not buy
64019.85299068265,569.0,2116,uptown,Townhouse,8/28/2019,1.9525866146627853,High,41.49464721252956,not buy
71835.21553071005,660.0,1863,uptown,Condo,2019-09-24,4.633738207517501,Low,74.85189916678891,not buy
30248.621707982144,556.0,1962,downtown,Single Family,13.5.2019,2.8722762169371605,High,52.6477531097798,not buy
65606.56224324976,432.0,2288,industrial_area,Multi-Family,2023-10-02,2.865197651759275,High,62.753907379990146,not buy
77142.25143023493,575.0,804,rural,Townhouse,24.10.2020,4.042302569821129,Low,48.482855664227706,buy
99557.88089483032,812.0,1366,downtown,Townhouse,2023-04-16,1.6179688160197032,High,55.33359244705449,not buy
,612.0,2022,suburb,Multi-Family,2021-05-01,2.949061416400203,High,58.39468504518405,buy
53830.12794213625,583.0,1797,rural,Townhouse,4.12.2020,2.719940856484239,High,62.18194711754256,buy
59964.85912830927,420.0,-97,suburb,Multi-Family,23.4.2022,3.3876427621866245,Medium,60.57368305378225,not buy
88308.04235404148,406.0,2113,downtown,Townhouse,8.7.2020,4.998230813001754,High,58.721970000729776,not buy
76575.02219319368,503.0,942,uptown,Condo,5/13/2021,4.077795576328189,Low,46.849132688058916,buy
59404.79592465922,464.0,2636,downtown,Multi-Family,11/12/2023,2.5914628120697087,High,44.28253958043938,not buy
80265.34866226712,604.0,1750,suburb,Multi-Family,6/17/2021,4.310212209096187,High,53.326075103241976,not buy
71941.5509869608,796.0,1567,rural,Single Family,26.2.2022,1.6828334532499207,Medium,59.33128072341069,buy
89372.89981065778,455.0,2104,industrial_area,Condo,6/7/2022,1.1218547452358405,High,47.77279299223393,buy
55958.93812245295,666.0,2053,downtown,Multi-Family,2.7.2021,1.8177934898570922,Medium,60.651719657143865,buy
63446.75706804464,550.0,2598,rural,Townhouse,2020-12-05,2.3616462244570386,High,64.52616745486179,buy
62157.83693735685,633.0,2135,uptown,Townhouse,19.9.2021,3.0423230298382395,High,40.83679080926581,not buy
40729.70103735763,810.0,2579,uptown,Townhouse,2022-05-05,3.4605165621647993,Medium,41.630792962037205,not buy
75922.40554129152,592.0,1530,uptown,Single Family,13.4.2021,4.642422868857687,Low,48.59624941094663,not buy
75221.10544359779,319.0,2070,rural,Multi-Family,18.8.2020,3.0394160382018307,Low,53.076126681891964,buy
70102.26913284922,581.0,1442,downtown,Townhouse,5/25/2021,3.0051025785029175,Low,44.75432986232949,buy
65308.25733249706,300.0,2048,rural,Single Family,6.8.2022,1.2009720392919285,High,63.52202678867144,buy
41692.585158991715,418.0,1942,rural,Single Family,5.3.2021,1.1396462106248952,Medium,54.24066861518451,buy
61587.09354469282,334.0,1921,industrial_area,Multi-Family,6.8.2023,3.2046398476654883,High,50.39447048240739,buy
63145.70966946461,497.0,1925,industrial_area,Townhouse,2019-09-02,2.752714452993378,Medium,35.64090476131472,buy
53954.45461556762,784.0,2368,downtown,Condo,2019-01-14,4.356721579921194,High,36.84184183572493,not buy
66774.28576667982,358.0,1196,industrial_area,Townhouse,2020-02-23,1.6427183388473807,Low,52.810092502818065,buy
78081.01713629077,460.0,1550,uptown,Condo,not_a_date,1.0998866484681984,High,28.674043738451637,buy
107723.7180242106,505.0,1979,industrial_area,Condo,20.1.2021,2.7961550717205035,High,60.12637409644071,buy
73491.55625663677,311.0,1410,uptown,Townhouse,8/22/2023,1.94991422700903,Medium,48.418461556276796,not buy
75151.00781445528,789.0,2023,downtown,Condo,18.1.2019,1.1984574933553498,Medium,82.43092969594733,buy
68511.08168467665,575.0,1974,rural,Single Family,1.1.2022,3.898393147390516,Medium,73.07916250616111,buy
31624.57569401917,541.0,1298,rural,Single Family,2021-09-10,1.44637199982899,High,48.18550930752483,not buy
69469.72249101567,515.0,1273,industrial_area,Townhouse,12/22/2023,3.4332780000310867,Medium,48.93662997468685,buy
71204.60419882053,550.0,688,uptown,Multi-Family,4.2.2020,2.1241990006675566,Medium,59.9558151400203,not buy
119264.84224970572,425.0,1389,suburb,Single Family,7.4.2020,1.693984201420088,Medium,67.03172609918037,buy
66152.78070437755,516.0,2007,suburb,Townhouse,5/27/2023,2.51900609167727,High,33.61970942563983,not buy
76030.94684667225,605.0,2078,suburb,Condo,7/3/2021,4.205783104891815,Medium,32.13624534645314,buy
69305.76460589514,484.0,2100,rural,Single Family,2022-08-19,2.5683743076182908,High,43.779651944456184,buy
46626.43924760936,338.0,1611,rural,Townhouse,2020-05-22,4.003078596844222,Medium,55.82737583173864,not buy
92856.45629030041,522.0,1990,uptown,Townhouse,2/13/2019,1.5019451871966027,High,54.968735905075974,not buy
85038.66065373548,483.0,2198,industrial_area,Multi-Family,2022-09-16,4.091085678660317,Low,60.6977145498385,not buy
85820.63894086094,794.0,1365,suburb,Condo,2019-12-06,1.9477332996265946,High,38.003024716346914,buy
51812.250904105225,726.0,2061,uptown,Condo,7/21/2022,3.709572519555491,High,26.838561370311233,not buy
98055.88621872198,477.0,2328,uptown,Condo,2023-02-17,3.2631262193639854,Low,58.58014195302145,buy
41962.97874415438,727.0,1754,industrial_area,Townhouse,28.4.2020,4.716578868846749,Medium,41.71803727034765,buy
81737.14187600541,593.0,2531,uptown,Townhouse,2023-08-09,2.549290071901256,High,29.81512135611362,buy
113809.11251619957,450.0,1766,industrial_area,Condo,9.11.2019,1.2646607553377618,High,51.450637459593814,not buy
50189.27349738623,683.0,1569,downtown,Townhouse,2023-11-02,1.0766219422050116,Medium,57.931756882186775,buy
58674.04540794456,607.0,2278,industrial_arpa,Multi-Family,7.1.2021,4.307434243891013,Medium,48.77942867878723,buy
71993.02730175282,635.0,3016,suburb,Townhouse,12/27/2020,3.0989425506457287,Medium,45.42151613817511,buy
59930.48691767602,674.0,2042,suburb,Townhouse,6.5.2019,4.100976207339797,UnknownRisk,48.406377678540935,buy
38986.731378677345,307.0,2317,industrial_area,Single Family,10/27/2020,1.9377024000460588,Medium,46.29417237599217,not buy
71371.25949612055,640.0,1745,downtown,Multi-Family,13.6.2023,2.380334982052935,Low,36.51952888059833,not buy
48753.92572547791,428.0,1379,downtown,Single Family,2020-12-24,1.1204154888452758,High,42.853193230095684,not buy
79471.84861270363,651.0,2083,suburb,Condo,2023-12-12,4.845969298296449,Low,55.212799050138145,buy
51611.51531532394,657.0,2162,downtown,Condo,2019-07-08,3.6714716268032537,Medium,53.216785413765,not buy
100998.68810035079,816.0,1821,uptown,Multi-Family,25.10.2021,4.732820351037224,High,51.6805980596682,buy
54334.93415327526,794.0,2315,rural,Townhouse,7/25/2023,2.0619856297162893,Low,40.04851518146621,buy
63558.76967588649,385.0,1672,uptown,Single Family,11/9/2019,3.4458544449026434,High,48.184968378643326,buy
86270.3443473934,474.0,1548,suburb,Multi-Family,12.4.2022,3.7139998731705512,Low,28.22934953557145,buy
45382.7136713209,492.0,2530,downtown,Single Family,6.7.2022,2.2701988010303538,Medium,51.784766638853895,buy
74549.19869208259,610.0,2532,industrial_area,Townhouse,2023-11-13,4.39243694006252,Low,64.28857707813567,buy
96142.85508564857,418.0,1682,rural,Single Family,2023-05-26,4.788645851600991,Medium,35.25867867957894,not buy
37850.33530877545,517.0,2859,industrial_area,Multi-Family,2019-02-09,4.539420470784018,Low,44.14072326682245,buy
73692.67717064609,726.0,1856,suburb,Townhouse,26.12.2022,3.95626790375749,Low,53.2910677871013,not buy
75197.65588496847,713.0,2042,downtown,Boat House,12/13/2020,2.109858718899816,Medium,62.528426344274834,buy
85636.45743554621,413.0,1957,industrial_area,Multi-Family,2021-02-03,2.126464168422527,Low,45.51775383699851,not buy
45260.985782438365,444.0,2261,industrial_area,Townhouse,8/12/2021,4.853441281784152,High,43.077496707341034,not buy
43590.867738314475,837.0,2135,rural,Single Family,2019-03-03,1.0411379837427681,Medium,30.31076857583917,buy
80438.83131233795,602.0,2128,rural,Condo,18.8.2022,3.864199892968578,High,51.03438129308106,buy
75939.69346466372,644.0,1490,downtown,Multi-Family,2023-07-04,3.8249846502210487,High,70.42076040143743,buy
75009.85700691753,300.0,1155,rural,Single Family,2019-06-18,3.49075816379919,High,52.77358461964676,buy
76928.96418993952,446.0,2571,industrial_area,Townhouse,10/26/2023,4.960435384347463,High,49.77721020816287,buy
56399.505568430184,586.0,1727,industrial_area,Condo,1/10/2022,2.247517743054901,High,53.22082310766986,not buy
74645.07394322006,352.0,1975,suburb,Single Family,24.2.2022,2.3598874551729927,Low,49.88907996051398,not buy
75861.44946597362,603.0,2163,industrial_area,Multi-Family,2020-10-17,1.3157576117862222,Low,41.8698562773987,not buy
55712.97163947264,368.0,2814,downtown,Townhouse,3/5/2022,2.77119254617495,Low,58.232799156777055,not buy
107315.49022289514,660.0,2080,uptown,Multi-Family,2021-05-16,2.0441941049393924,Medium,52.25761523111754,buy
79476.65841823575,519.0,1802,suburb,Single Family,3/14/2019,2.373546808710577,Medium,50.176132519336576,buy
46173.93005594703,460.0,1738,suburb,Condo,2022-05-16,4.33828716102251,Low,40.2463397272175,not buy
83131.07217267659,388.0,1981,downtown,Single Family,8.5.2021,4.741938054109983,Low,63.03507931934759,not buy
50506.36659545357,458.0,1545,downtown,Single Family,2022-10-20,1.7429322880207425,Medium,56.6470274533311,not buy
85741.69207484904,788.0,2014,rural,Townhouse,2/5/2022,2.4900357262138635,Medium,44.47079162632698,buy
93171.91158014808,623.0,1973,suburb,Multi-Family,11.7.2019,4.714522248461576,High,60.01824853681937,buy
53586.353632965795,680.0,2820,rural,Single Family,6/15/2022,1.2472338427568905,Low,45.02429161614793,not buy
89267.52258488644,401.0,1958,industrial_area,Single Family,2022-11-20,1.369442112445514,Low,42.17996507488963,buy
78255.61853872996,793.0,1037,suburb,Condo,20.6.2021,1.6511639568249175,Medium,42.40296882519713,buy
86441.2031998898,318.0,3336,suburb,Condo,2020-08-11,3.380851336507499,Medium,32.28931446911909,buy
107935.85965307895,753.0,2478,uptown,Multi-Family,10.6.2022,1.6018890840239899,Low,54.71542380418206,not buy
65092.23767994259,781.0,3041,suburb,Multi-Family,2022-10-26,4.872305525802934,High,31.6885512166165,buy
54925.27671285021,696.0,1421,industrial_area,Townhouse,7/9/2021,2.7868581090340814,Medium,37.71556168734237,buy
52209.711407489536,578.0,1889,rural,Multi-Family,2021-02-19,3.0060718414006655,High,29.244119909214668,not buy
